Date,Airline,Flight,From,To,Dep Terminal,Dep Gate,Arr Terminal,Arr Gate,Canceled,Diverted To,Gate Departure (Scheduled),Gate Departure (Actual),Take off (Scheduled),Take off (Actual),Landing (Scheduled),Landing (Actual),Gate Arrival (Scheduled),Gate Arrival (Actual),Aircraft Type Name,Tail Number,PNR,Seat,Seat Type,Cabin Class,Flight Reason,Notes,Flight Flighty ID,Airline Flighty ID,Departure Airport Flighty ID,Arrival Airport Flighty ID,Diverted To Airport Flighty ID,Aircraft Type Flighty ID
2018-09-02,ACA,1913,BCN,YUL,1,D10,Main,,false,,2018-09-02T14:10,2018-09-02T14:16,,,,,2018-09-02T16:25,2018-09-02T16:30,Boeing 767-300,,,,,,,,f57d643b-16e8-4c41-8f97-18fd7258540a,e01c58da-cfd8-4db7-9078-f950d668ba1a,72d63683-9cc9-40da-9394-b2557edacb91,4cad50dc-9f0d-4c24-a3fb-de8e0b4c5d2a,,43446f91-8c37-47d7-bb5e-609364bbe870
2018-09-02,ACA,425,YUL,YYZ,Main,A48,1,,false,,2018-09-02T19:00,2018-09-02T19:41,,,,,2018-09-02T20:19,2018-09-02T21:09,Airbus A320,,,,,,,,2a69c71e-7408-43f3-b670-4e782a845db6,e01c58da-cfd8-4db7-9078-f950d668ba1a,4cad50dc-9f0d-4c24-a3fb-de8e0b4c5d2a,54b344b9-4034-43bf-9f74-6934fe37e671,,dd390a1f-e92a-4411-ab72-04db16d42030
2019-05-12,ACA,16,HKG,YYZ,1,47,1,,false,,2019-05-12T15:10,2019-05-12T15:05,,,,,2019-05-12T18:15,2019-05-12T18:14,Boeing 777-200 LR,,,,,,,,05ec0486-bf41-41f6-886c-7881a8af0fb5,e01c58da-cfd8-4db7-9078-f950d668ba1a,7da61aa8-3d56-411b-8be5-50a198e86c60,54b344b9-4034-43bf-9f74-6934fe37e671,,d2ced67b-2371-4059-8857-9a4528621b4b
2021-09-04,WJA,707,YYZ,YVR,3,B25,M,B15,false,,2021-09-04T10:00,2021-09-04T09:59,,,,,2021-09-04T12:15,2021-09-04T12:13,Boeing 737-800,,,,,,,,77a3402b-51f8-419f-91c2-778214b59a92,5af6212f-9d69-4cba-971b-d20f2c3bab21,54b344b9-4034-43bf-9f74-6934fe37e671,c71de46b-62e9-43fb-83e7-1f44a3a393fe,,4f7a0cdc-f82f-4544-9e7b-f49a80b8463a
2021-09-10,WJA,718,YVR,YYZ,M,B13,3,C35,false,,2021-09-10T15:15,2021-09-10T15:56,,,,,2021-09-10T22:49,2021-09-10T23:27,Boeing 737-800,,,,,,,,2a3189dd-fed9-49e1-881b-fa78bef5938b,5af6212f-9d69-4cba-971b-d20f2c3bab21,c71de46b-62e9-43fb-83e7-1f44a3a393fe,54b344b9-4034-43bf-9f74-6934fe37e671,,4f7a0cdc-f82f-4544-9e7b-f49a80b8463a
2021-12-11,ACA,541,YYZ,SEA,,,,,false,,2021-12-11T16:55,,,,,,,,Airbus A220-300,,,,,,,,a559456e-6e86-4562-bcb6-12c6c610a71f,e01c58da-cfd8-4db7-9078-f950d668ba1a,54b344b9-4034-43bf-9f74-6934fe37e671,b3f217fd-4bc7-4806-9efe-abe9446a74df,,c6158951-56ef-48ec-b8ae-5f7e9c0c24c0
2021-12-17,DAL,3935,SEA,YVR,,B4,M,E88,false,,2021-12-17T07:10,2021-12-17T07:12,,,,,2021-12-17T08:13,2021-12-17T08:17,Embraer 175,,,,,,,,fd9a2b15-1c02-4ad1-a6ac-58e5b042f1e3,a8765091-d043-44b1-936c-d217bb519e56,b3f217fd-4bc7-4806-9efe-abe9446a74df,c71de46b-62e9-43fb-83e7-1f44a3a393fe,,36728d5b-40cd-46ec-93ba-8822376b565d
2021-12-17,DAL,6917,YVR,YYZ,M,B26,3,C24,false,,2021-12-17T11:00,2021-12-17T11:40,,,,,2021-12-17T18:24,2021-12-17T19:15,Boeing 737-700,,,,,,,,cf588b43-8bee-4453-a066-d0a2667b0019,a8765091-d043-44b1-936c-d217bb519e56,c71de46b-62e9-43fb-83e7-1f44a3a393fe,54b344b9-4034-43bf-9f74-6934fe37e671,,ec6b2abe-069a-4181-b632-6e9d3086a9d3
2022-02-05,WJA,705,YYZ,YVR,3,B27,M,B14,false,,2022-02-05T09:00,2022-02-05T09:29,,,,,2022-02-05T11:18,2022-02-05T12:11,Boeing 737-700,,,,,,,,2ebd59ad-3561-41ab-9c52-ba90d8a3163a,5af6212f-9d69-4cba-971b-d20f2c3bab21,54b344b9-4034-43bf-9f74-6934fe37e671,c71de46b-62e9-43fb-83e7-1f44a3a393fe,,ec6b2abe-069a-4181-b632-6e9d3086a9d3
2022-02-12,WJA,714,YVR,YYZ,M,B16,3,B22,false,,2022-02-12T13:00,2022-02-12T13:03,,,,,2022-02-12T20:28,2022-02-12T20:22,Boeing 737-700,,,,,,,,623ae458-2ecc-48e0-b072-885f9ff4d523,5af6212f-9d69-4cba-971b-d20f2c3bab21,c71de46b-62e9-43fb-83e7-1f44a3a393fe,54b344b9-4034-43bf-9f74-6934fe37e671,,886c3a0c-c7a3-4205-982f-35cddc765ae1
